clock,foul,gameId,index,isFreeThrow,make,pid,pts,qtr,x,y
700.0,False,1459964.0,83705.0,False,False,229598.0,0.0,1.0,12.4,12.4
666.0,False,1459964.0,83705.0,False,False,229738.0,0.0,1.0,-17.4,20.5
662.0,False,1459964.0,83705.0,False,True,168051.0,2.0,1.0,3.1,0.3
636.0,False,1459964.0,83705.0,False,True,553573.0,2.0,1.0,-0.5,7.2
615.0,False,1459964.0,83705.0,False,False,172643.0,0.0,1.0,16.8,21.6
598.0,False,1459964.0,83705.0,False,True,229738.0,2.0,1.0,2.0,1.5
587.0,False,1459964.0,83705.0,False,True,172643.0,3.0,1.0,-18.2,18.6
570.0,False,1459964.0,83705.0,False,False,599805.0,0.0,1.0,0.1,6.1
559.0,False,1459964.0,83705.0,False,False,229598.0,0.0,1.0,-9.2,15.9
542.0,False,1459964.0,83705.0,False,True,172643.0,2.0,1.0,2.1,1.4
527.0,False,1459964.0,83705.0,False,True,332691.0,2.0,1.0,0.7,2.5
505.0,False,1459964.0,83705.0,False,False,172643.0,0.0,1.0,2.8,5.5
471.0,False,1459964.0,83705.0,False,False,553573.0,0.0,1.0,-0.7,3.0
446.0,False,1459964.0,83705.0,False,True,172643.0,2.0,1.0,-2.4,15.1
427.0,False,1459964.0,83705.0,False,True,229738.0,2.0,1.0,-1.1,2.0
415.0,False,1459964.0,83705.0,False,False,399725.0,0.0,1.0,-0.5,4.1
412.0,False,1459964.0,83705.0,False,True,399725.0,2.0,1.0,1.0,1.5
399.0,False,1459964.0,83705.0,False,False,229738.0,0.0,1.0,24.4,0.3
385.0,False,1459964.0,83705.0,False,True,395388.0,2.0,1.0,9.2,13.4
369.0,False,1459964.0,83705.0,False,True,172643.0,3.0,1.0,2.4,25.0
338.0,False,1459964.0,83705.0,False,True,398142.0,2.0,1.0,0.0,0.1
323.0,False,1459964.0,83705.0,False,False,599805.0,0.0,1.0,1.0,16.2
302.0,False,1459964.0,83705.0,False,False,599805.0,0.0,1.0,1.2,3.4
282.0,False,1459964.0,83705.0,False,True,253996.0,2.0,1.0,-1.5,2.8
270.0,False,1459964.0,83705.0,False,False,399725.0,0.0,1.0,-7.0,17.0
262.0,False,1459964.0,83705.0,False,False,229738.0,0.0,1.0,10.2,23.0
252.0,False,1459964.0,83705.0,False,True,168051.0,3.0,1.0,-23.2,1.1
232.0,False,1459964.0,83705.0,False,False,395388.0,0.0,1.0,10.0,24.2
215.0,False,1459964.0,83705.0,False,True,168051.0,3.0,1.0,23.3,-0.3
197.0,False,1459964.0,83705.0,False,False,3315.0,0.0,1.0,-23.4,7.2
193.0,False,1459964.0,83705.0,False,False,3315.0,0.0,1.0,-23.2,4.7
150.0,False,1459964.0,83705.0,False,False,263217.0,0.0,1.0,-16.0,20.3
136.0,False,1459964.0,83705.0,False,False,329824.0,0.0,1.0,-2.1,1.4
129.0,False,1459964.0,83705.0,False,True,168051.0,3.0,1.0,16.2,21.3
114.0,False,1459964.0,83705.0,False,False,253996.0,0.0,1.0,23.9,-0.5
96.0,False,1459964.0,83705.0,False,False,172643.0,0.0,1.0,-22.3,0.4
90.0,False,1459964.0,83705.0,False,False,172643.0,0.0,1.0,-23.4,-1.1
83.0,False,1459964.0,83705.0,False,True,599805.0,2.0,1.0,-2.4,0.0
66.0,False,1459964.0,83705.0,False,False,601139.0,0.0,1.0,3.1,0.1
51.9,False,1459964.0,83705.0,False,False,263217.0,0.0,1.0,10.8,23.9
41.0,False,1459964.0,83705.0,False,False,601139.0,0.0,1.0,0.9,6.4
23.5,False,1459964.0,83705.0,False,True,168051.0,3.0,1.0,16.0,19.8
706.0,False,1459964.0,83705.0,False,False,253996.0,0.0,2.0,-25.4,3.4
701.0,False,1459964.0,83705.0,False,True,229738.0,2.0,2.0,-1.6,1.7
685.0,False,1459964.0,83705.0,False,True,253996.0,2.0,2.0,0.0,0.1
666.0,False,1459964.0,83705.0,False,False,172997.0,0.0,2.0,-0.5,18.3
645.0,False,1459964.0,83705.0,False,False,263217.0,0.0,2.0,-4.8,3.1
629.0,False,1459964.0,83705.0,False,True,399725.0,2.0,2.0,1.5,2.0
611.0,False,1459964.0,83705.0,False,False,253996.0,0.0,2.0,-10.1,14.9
585.0,False,1459964.0,83705.0,False,False,599805.0,0.0,2.0,8.3,24.7
570.0,False,1459964.0,83705.0,False,True,513608.0,2.0,2.0,9.7,12.3
549.0,False,1459964.0,83705.0,False,False,599805.0,0.0,2.0,0.0,10.4
542.0,False,1459964.0,83705.0,False,False,513608.0,0.0,2.0,14.4,21.4
528.0,False,1459964.0,83705.0,False,False,399725.0,0.0,2.0,5.6,1.2
516.0,False,1459964.0,83705.0,False,True,332691.0,3.0,2.0,16.2,19.4
502.0,False,1459964.0,83705.0,False,False,172643.0,0.0,2.0,-14.1,8.6
493.0,False,1459964.0,83705.0,False,False,229738.0,0.0,2.0,-12.2,24.1
486.0,False,1459964.0,83705.0,False,True,172997.0,2.0,2.0,1.5,2.0
464.0,False,1459964.0,83705.0,False,True,395388.0,3.0,2.0,-14.6,21.4
437.0,False,1459964.0,83705.0,False,False,229598.0,0.0,2.0,-3.8,26.1
419.0,False,1459964.0,83705.0,False,False,229738.0,0.0,2.0,6.5,19.2
411.0,False,1459964.0,83705.0,False,True,263904.0,2.0,2.0,2.0,2.2
390.0,False,1459964.0,83705.0,False,False,332691.0,0.0,2.0,11.0,23.5
376.0,False,1459964.0,83705.0,False,False,168051.0,0.0,2.0,18.1,17.0
366.0,False,1459964.0,83705.0,False,False,553573.0,0.0,2.0,-17.9,17.8
356.0,False,1459964.0,83705.0,False,False,395388.0,0.0,2.0,0.0,1.7
344.0,False,1459964.0,83705.0,False,False,229598.0,0.0,2.0,16.2,11.6
332.0,False,1459964.0,83705.0,False,True,395388.0,3.0,2.0,17.4,19.2
319.0,False,1459964.0,83705.0,False,True,229598.0,2.0,2.0,12.4,12.7
280.0,False,1459964.0,83705.0,False,False,553573.0,0.0,2.0,10.3,10.7
273.0,False,1459964.0,83705.0,False,False,229598.0,0.0,2.0,5.1,15.3
254.0,False,1459964.0,83705.0,False,False,599805.0,0.0,2.0,-5.4,7.1
251.0,False,1459964.0,83705.0,False,False,553573.0,0.0,2.0,1.5,2.3
248.0,False,1459964.0,83705.0,False,True,553573.0,2.0,2.0,0.6,2.5
230.0,False,1459964.0,83705.0,False,True,229738.0,2.0,2.0,2.1,0.7
207.0,False,1459964.0,83705.0,False,True,513608.0,3.0,2.0,-13.8,23.6
192.0,False,1459964.0,83705.0,False,False,553573.0,0.0,2.0,-1.1,3.0
172.0,False,1459964.0,83705.0,False,False,229738.0,0.0,2.0,-23.2,3.7
153.0,False,1459964.0,83705.0,False,True,229598.0,2.0,2.0,4.7,21.7
129.0,False,1459964.0,83705.0,False,True,229738.0,3.0,2.0,9.9,25.0
113.0,False,1459964.0,83705.0,False,False,229598.0,0.0,2.0,-1.6,2.5
103.0,False,1459964.0,83705.0,False,True,513608.0,3.0,2.0,-19.6,18.4
86.0,False,1459964.0,83705.0,False,True,395388.0,2.0,2.0,-1.0,1.9
73.0,False,1459964.0,83705.0,False,False,513608.0,0.0,2.0,19.6,1.5
38.9,False,1459964.0,83705.0,False,False,229738.0,0.0,2.0,2.0,1.4
9.8,False,1459964.0,83705.0,False,True,395388.0,3.0,2.0,-5.2,26.8
706.0,False,1459964.0,83705.0,False,True,229598.0,2.0,3.0,1.5,0.7
680.0,False,1459964.0,83705.0,False,False,599805.0,0.0,3.0,-23.2,-0.6
670.0,False,1459964.0,83705.0,False,False,229738.0,0.0,3.0,0.2,1.1
653.0,False,1459964.0,83705.0,False,False,168051.0,0.0,3.0,-13.1,22.4
629.0,False,1459964.0,83705.0,False,True,229738.0,3.0,3.0,-23.1,-1.0
607.0,False,1459964.0,83705.0,False,True,172643.0,3.0,3.0,7.2,24.7
594.0,False,1459964.0,83705.0,False,True,229738.0,2.0,3.0,10.8,9.4
580.0,False,1459964.0,83705.0,False,True,399725.0,2.0,3.0,-2.3,0.6
569.0,False,1459964.0,83705.0,False,True,553573.0,2.0,3.0,-3.0,3.7
555.0,False,1459964.0,83705.0,False,False,172643.0,0.0,3.0,11.1,11.0
542.0,False,1459964.0,83705.0,False,False,395388.0,0.0,3.0,2.3,2.8
536.0,False,1459964.0,83705.0,False,False,168051.0,0.0,3.0,2.9,1.1
529.0,False,1459964.0,83705.0,False,True,553573.0,2.0,3.0,1.3,1.5
513.0,False,1459964.0,83705.0,False,False,229598.0,0.0,3.0,11.4,10.5
500.0,False,1459964.0,83705.0,False,True,395388.0,2.0,3.0,-8.6,17.0
480.0,False,1459964.0,83705.0,False,False,229598.0,0.0,3.0,-7.3,19.5
450.0,False,1459964.0,83705.0,False,False,168051.0,0.0,3.0,9.4,23.8
427.0,False,1459964.0,83705.0,False,False,553573.0,0.0,3.0,7.2,4.7
