clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
534.0,True,False,1460464.0,43975.0,,548635.0,3.0,1.0,329525.0,-24.3,1.1
473.0,False,False,1460464.0,43975.0,,551768.0,3.0,1.0,395374.0,9.7,22.5
400.0,False,False,1460464.0,43975.0,,552679.0,3.0,1.0,253997.0,-23.7,0.1
352.0,False,False,1460464.0,43975.0,,552007.0,3.0,1.0,329830.0,13.6,23.8
317.0,False,False,1460464.0,43975.0,,329830.0,2.0,1.0,214162.0,0.0,0.1
228.0,True,False,1460464.0,43975.0,,253997.0,2.0,1.0,214152.0,0.6,0.0
217.0,False,False,1460464.0,43975.0,,329830.0,2.0,1.0,57819.0,-0.8,0.0
168.0,False,False,1460464.0,43975.0,,329830.0,3.0,1.0,263899.0,-22.8,4.4
73.0,True,False,1460464.0,43975.0,,456450.0,2.0,1.0,552007.0,0.4,-0.2
646.0,False,False,1460464.0,43975.0,,329525.0,2.0,2.0,456450.0,0.7,8.9
598.0,False,False,1460464.0,43975.0,,214152.0,3.0,2.0,457186.0,22.5,0.6
549.0,False,False,1460464.0,43975.0,,552007.0,3.0,2.0,456450.0,-9.7,24.1
353.0,False,False,1460464.0,43975.0,,329525.0,3.0,2.0,552007.0,23.9,0.0
331.0,True,False,1460464.0,43975.0,,329830.0,2.0,2.0,329525.0,0.6,0.1
283.0,False,False,1460464.0,43975.0,,551768.0,3.0,2.0,253997.0,6.7,25.0
253.0,False,False,1460464.0,43975.0,,253997.0,3.0,2.0,551768.0,8.8,24.9
207.0,False,False,1460464.0,43975.0,,329525.0,2.0,2.0,214162.0,-0.2,-0.6
48.9,False,False,1460464.0,43975.0,,214152.0,3.0,2.0,253997.0,-21.7,12.9
696.0,False,False,1460464.0,43975.0,,551768.0,3.0,3.0,253997.0,17.6,22.2
675.0,False,False,1460464.0,43975.0,,214162.0,2.0,3.0,329830.0,-12.0,5.5
656.0,True,False,1460464.0,43975.0,,329830.0,2.0,3.0,329525.0,0.0,0.1
613.0,False,False,1460464.0,43975.0,,329525.0,2.0,3.0,456450.0,-10.3,2.0
515.0,False,False,1460464.0,43975.0,,329525.0,2.0,3.0,329830.0,-0.4,17.9
493.0,True,False,1460464.0,43975.0,,329830.0,2.0,3.0,329525.0,0.0,0.1
443.0,False,False,1460464.0,43975.0,,551768.0,3.0,3.0,395374.0,10.6,22.4
429.0,False,False,1460464.0,43975.0,,329525.0,3.0,3.0,456450.0,-17.9,18.6
392.0,False,False,1460464.0,43975.0,,329525.0,2.0,3.0,548635.0,0.0,0.1
311.0,False,False,1460464.0,43975.0,,552806.0,3.0,3.0,395374.0,13.8,20.0
251.0,False,False,1460464.0,43975.0,,329525.0,3.0,3.0,329830.0,-22.8,-1.7
140.0,False,False,1460464.0,43975.0,,329830.0,2.0,3.0,456450.0,-0.7,0.0
84.0,False,False,1460464.0,43975.0,,57819.0,2.0,3.0,552007.0,0.1,1.1
75.0,False,False,1460464.0,43975.0,,551768.0,3.0,3.0,395374.0,1.8,24.2
54.9,False,False,1460464.0,43975.0,,329830.0,2.0,3.0,552007.0,-0.2,0.3
31.8,False,False,1460464.0,43975.0,,551768.0,3.0,3.0,531447.0,22.0,11.0
688.0,False,False,1460464.0,43975.0,,531447.0,3.0,4.0,214152.0,-16.9,20.0
419.0,False,False,1460464.0,43975.0,,214152.0,3.0,4.0,551768.0,22.8,4.7
405.0,False,False,1460464.0,43975.0,,329830.0,2.0,4.0,329525.0,-0.7,1.7
217.0,False,False,1460464.0,43975.0,,214152.0,3.0,4.0,395374.0,-23.1,-1.6
