clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
654.0,False,False,1539622.0,55084.0,,400594.0,2.0,1.0,3512.0,12.9,10.4
619.0,False,False,1539622.0,55084.0,,276755.0,2.0,1.0,3512.0,18.5,-1.4
462.0,False,False,1539622.0,55084.0,,400594.0,3.0,1.0,172922.0,-22.9,0.3
426.0,False,False,1539622.0,55084.0,,393441.0,2.0,1.0,3512.0,13.2,15.4
414.0,False,False,1539622.0,55084.0,,266554.0,3.0,1.0,456451.0,12.4,22.8
293.0,False,False,1539622.0,55084.0,,400594.0,2.0,1.0,393441.0,-9.0,5.3
540.0,False,False,1539622.0,55084.0,,58258.0,3.0,2.0,522878.0,10.8,22.8
516.0,False,False,1539622.0,55084.0,,400594.0,2.0,2.0,3512.0,-2.4,3.4
375.0,False,False,1539622.0,55084.0,,3230.0,2.0,2.0,172922.0,0.9,0.3
355.0,False,False,1539622.0,55084.0,,456451.0,3.0,2.0,550131.0,-3.0,25.0
94.0,False,False,1539622.0,55084.0,,3512.0,2.0,2.0,276755.0,0.7,5.6
30.7,False,False,1539622.0,55084.0,,393441.0,2.0,2.0,276755.0,16.6,0.0
547.0,False,False,1539622.0,55084.0,,463121.0,3.0,3.0,550131.0,-16.3,19.8
509.0,False,False,1539622.0,55084.0,,463121.0,3.0,3.0,522878.0,16.3,21.1
484.0,False,False,1539622.0,55084.0,,172922.0,2.0,3.0,400594.0,-5.7,11.9
461.0,False,False,1539622.0,55084.0,,172922.0,2.0,3.0,276755.0,-13.9,5.6
440.0,False,False,1539622.0,55084.0,,463121.0,2.0,3.0,266554.0,2.3,19.4
365.0,False,False,1539622.0,55084.0,,456451.0,3.0,3.0,522878.0,22.5,-0.5
219.0,False,False,1539622.0,55084.0,,456451.0,3.0,3.0,522878.0,6.1,25.0
176.0,False,False,1539622.0,55084.0,,172922.0,2.0,3.0,393441.0,1.2,18.3
25.1,False,False,1539622.0,55084.0,,254007.0,2.0,3.0,393441.0,2.8,12.6
680.0,False,False,1539622.0,55084.0,,456451.0,2.0,4.0,330050.0,0.2,6.0
519.0,False,False,1539622.0,55084.0,,172922.0,2.0,4.0,3230.0,-5.9,1.7
337.0,False,False,1539622.0,55084.0,,3512.0,2.0,4.0,400594.0,1.5,0.4
300.0,False,False,1539622.0,55084.0,,393441.0,2.0,4.0,266367.0,-10.5,11.6
196.0,False,False,1539622.0,55084.0,,456451.0,3.0,4.0,550131.0,-4.3,24.7
171.0,False,False,1539622.0,55084.0,,266367.0,2.0,4.0,276755.0,-14.6,-1.0
91.0,False,False,1539622.0,55084.0,,456451.0,3.0,4.0,522878.0,10.2,28.3
43.6,False,False,1539622.0,55084.0,,550131.0,3.0,4.0,522878.0,-23.1,0.0
15.6,False,False,1539622.0,55084.0,,456451.0,3.0,4.0,58258.0,-15.2,21.9
681.0,False,False,1539625.0,55114.0,,237675.0,3.0,1.0,58293.0,12.4,20.9
634.0,False,False,1539625.0,55114.0,,58293.0,2.0,1.0,280587.0,2.0,0.0
497.0,False,False,1539625.0,55114.0,,398043.0,2.0,1.0,237675.0,-1.0,0.1
368.0,False,False,1539625.0,55114.0,,237675.0,3.0,1.0,262890.0,22.6,3.6
261.0,False,False,1539625.0,55114.0,,262890.0,3.0,1.0,746146.0,16.8,17.5
85.0,False,False,1539625.0,55114.0,,739958.0,2.0,1.0,280587.0,-10.9,6.7
40.7,False,False,1539625.0,55114.0,,477669.0,2.0,1.0,739958.0,-1.1,0.4
