clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
662.0,True,False,1459964.0,22445.0,,172643.0,2.0,1.0,168051.0,3.1,0.3
598.0,False,False,1459964.0,22445.0,,395388.0,2.0,1.0,229738.0,2.0,1.5
587.0,False,False,1459964.0,22445.0,,229598.0,3.0,1.0,172643.0,-18.2,18.6
542.0,True,False,1459964.0,22445.0,,399725.0,2.0,1.0,172643.0,2.1,1.4
527.0,False,False,1459964.0,22445.0,,599805.0,2.0,1.0,332691.0,0.7,2.5
446.0,False,False,1459964.0,22445.0,,229598.0,2.0,1.0,172643.0,-2.4,15.1
427.0,False,False,1459964.0,22445.0,,395388.0,2.0,1.0,229738.0,-1.1,2.0
369.0,False,False,1459964.0,22445.0,,399725.0,3.0,1.0,172643.0,2.4,25.0
338.0,False,False,1459964.0,22445.0,,399725.0,2.0,1.0,398142.0,0.0,0.1
282.0,False,False,1459964.0,22445.0,,395388.0,2.0,1.0,253996.0,-1.5,2.8
252.0,False,False,1459964.0,22445.0,,399725.0,3.0,1.0,168051.0,-23.2,1.1
215.0,False,False,1459964.0,22445.0,,398142.0,3.0,1.0,168051.0,23.3,-0.3
129.0,False,False,1459964.0,22445.0,,329824.0,3.0,1.0,168051.0,16.2,21.3
83.0,True,False,1459964.0,22445.0,,3315.0,2.0,1.0,599805.0,-2.4,0.0
23.5,False,False,1459964.0,22445.0,,329824.0,3.0,1.0,168051.0,16.0,19.8
629.0,False,False,1459964.0,22445.0,,172997.0,2.0,2.0,399725.0,1.5,2.0
516.0,False,False,1459964.0,22445.0,,229738.0,3.0,2.0,332691.0,16.2,19.4
486.0,True,False,1459964.0,22445.0,,172643.0,2.0,2.0,172997.0,1.5,2.0
464.0,False,False,1459964.0,22445.0,,332691.0,3.0,2.0,395388.0,-14.6,21.4
411.0,True,False,1459964.0,22445.0,,399725.0,2.0,2.0,263904.0,2.0,2.2
332.0,False,False,1459964.0,22445.0,,229738.0,3.0,2.0,395388.0,17.4,19.2
207.0,False,False,1459964.0,22445.0,,399725.0,3.0,2.0,513608.0,-13.8,23.6
129.0,False,False,1459964.0,22445.0,,395388.0,3.0,2.0,229738.0,9.9,25.0
103.0,True,False,1459964.0,22445.0,,229598.0,3.0,2.0,513608.0,-19.6,18.4
86.0,False,False,1459964.0,22445.0,,332691.0,2.0,2.0,395388.0,-1.0,1.9
