clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
669.0,False,False,1459701.0,11072.0,,464841.0,2.0,1.0,603096.0,12.9,12.9
657.0,False,False,1459701.0,11072.0,,329525.0,2.0,1.0,679478.0,-1.3,4.5
633.0,False,False,1459701.0,11072.0,,329525.0,2.0,1.0,679478.0,-2.3,0.0
576.0,False,False,1459701.0,11072.0,,329830.0,2.0,1.0,456450.0,-6.0,8.3
555.0,False,False,1459701.0,11072.0,,603096.0,2.0,1.0,295799.0,-2.6,4.1
397.0,False,False,1459701.0,11072.0,,329830.0,3.0,1.0,456450.0,-3.7,24.7
305.0,False,False,1459701.0,11072.0,,401085.0,3.0,1.0,464841.0,-22.9,1.1
229.0,False,False,1459701.0,11072.0,,464841.0,2.0,1.0,603096.0,-13.8,2.2
183.0,False,False,1459701.0,11072.0,,329830.0,2.0,1.0,329525.0,14.0,1.4
169.0,False,False,1459701.0,11072.0,,464841.0,2.0,1.0,603096.0,0.0,0.1
158.0,False,False,1459701.0,11072.0,,329525.0,2.0,1.0,329830.0,0.4,0.3
104.0,False,False,1459701.0,11072.0,,464841.0,3.0,1.0,329825.0,22.8,0.3
90.0,False,False,1459701.0,11072.0,,329830.0,3.0,1.0,329525.0,-11.2,22.0
35.2,False,False,1459701.0,11072.0,,464841.0,3.0,1.0,329825.0,21.8,10.5
20.7,False,False,1459701.0,11072.0,,464841.0,2.0,1.0,329715.0,1.8,0.0
709.0,False,False,1459701.0,11072.0,,400661.0,3.0,2.0,329715.0,1.7,24.4
430.0,True,False,1459701.0,11072.0,,456449.0,2.0,2.0,329825.0,-1.0,-0.8
349.0,True,False,1459701.0,11072.0,,329830.0,2.0,2.0,329525.0,0.2,-1.0
337.0,False,False,1459701.0,11072.0,,464841.0,2.0,2.0,603096.0,13.3,11.6
321.0,False,False,1459701.0,11072.0,,679478.0,2.0,2.0,329525.0,-13.4,14.5
303.0,False,False,1459701.0,11072.0,,401085.0,3.0,2.0,329825.0,-22.4,1.9
252.0,False,False,1459701.0,11072.0,,464841.0,3.0,2.0,401085.0,13.5,21.4
131.0,False,False,1459701.0,11072.0,,464841.0,2.0,2.0,603096.0,0.0,0.1
10.4,False,False,1459701.0,11072.0,,329830.0,2.0,2.0,548635.0,0.0,0.1
674.0,False,False,1459701.0,11072.0,,603096.0,3.0,3.0,401085.0,-13.4,20.1
638.0,True,False,1459701.0,11072.0,,329830.0,2.0,3.0,679478.0,0.0,0.1
616.0,False,False,1459701.0,11072.0,,401085.0,3.0,3.0,464841.0,18.2,16.7
595.0,False,False,1459701.0,11072.0,,548635.0,3.0,3.0,329830.0,22.8,1.2
487.0,True,False,1459701.0,11072.0,,329830.0,2.0,3.0,456450.0,-7.6,3.6
444.0,False,False,1459701.0,11072.0,,464841.0,2.0,3.0,603096.0,2.8,0.0
409.0,False,False,1459701.0,11072.0,,329525.0,3.0,3.0,548635.0,-22.4,1.5
387.0,False,False,1459701.0,11072.0,,329830.0,2.0,3.0,329525.0,0.0,0.1
310.0,False,False,1459701.0,11072.0,,329825.0,2.0,3.0,456453.0,-1.3,-0.2
106.0,False,False,1459701.0,11072.0,,603096.0,2.0,3.0,295799.0,-1.3,0.6
76.0,False,False,1459701.0,11072.0,,464841.0,2.0,3.0,603096.0,0.0,16.8
41.6,False,False,1459701.0,11072.0,,464841.0,3.0,3.0,329715.0,10.5,22.2
11.0,False,False,1459701.0,11072.0,,464841.0,2.0,3.0,603096.0,0.0,0.1
698.0,False,False,1459701.0,11072.0,,329715.0,2.0,4.0,603096.0,0.0,0.1
526.0,False,False,1459701.0,11072.0,,462444.0,2.0,4.0,263899.0,5.1,9.9
238.0,False,False,1459701.0,11072.0,,464841.0,2.0,4.0,603096.0,-1.9,18.4
130.0,False,False,1459701.0,11072.0,,464841.0,2.0,4.0,603096.0,0.0,0.1
91.0,False,False,1459701.0,11072.0,,329830.0,3.0,4.0,329525.0,-10.0,22.4
63.0,False,False,1459701.0,11072.0,,329830.0,3.0,4.0,329525.0,-6.5,23.6
22.3,False,False,1459701.0,11072.0,,263899.0,2.0,4.0,548635.0,2.0,0.1
0.0,False,False,1459701.0,11072.0,,464841.0,3.0,4.0,603096.0,1.2,29.6
692.0,True,False,1459702.0,11117.0,,567408.0,2.0,1.0,509450.0,-0.8,0.7
679.0,False,False,1459702.0,11117.0,,609848.0,2.0,1.0,699947.0,0.0,0.1
663.0,False,False,1459702.0,11117.0,,567408.0,2.0,1.0,509450.0,0.6,-0.3
649.0,False,False,1459702.0,11117.0,,295436.0,2.0,1.0,525052.0,17.3,-2.4
601.0,False,False,1459702.0,11117.0,,699947.0,3.0,1.0,525052.0,-8.6,23.5
496.0,True,False,1459702.0,11117.0,,509094.0,2.0,1.0,609848.0,-1.0,0.6
473.0,False,False,1459702.0,11117.0,,509094.0,3.0,1.0,525052.0,17.3,20.3
360.0,False,False,1459702.0,11117.0,,295436.0,3.0,1.0,525052.0,-6.0,24.6
307.0,True,False,1459702.0,11117.0,,525052.0,2.0,1.0,295436.0,1.8,-0.5
184.0,True,False,1459702.0,11117.0,,3313.0,2.0,1.0,509168.0,-0.8,0.3
160.0,True,False,1459702.0,11117.0,,503779.0,2.0,1.0,604898.0,2.4,-0.5
53.8,False,False,1459702.0,11117.0,,329873.0,2.0,1.0,513268.0,19.0,-1.0
683.0,False,False,1459702.0,11117.0,,699826.0,2.0,2.0,513057.0,-1.1,1.2
562.0,False,False,1459702.0,11117.0,,3313.0,3.0,2.0,509168.0,-18.2,19.7
536.0,True,False,1459702.0,11117.0,,3313.0,2.0,2.0,266358.0,0.0,0.1
506.0,False,False,1459702.0,11117.0,,3313.0,2.0,2.0,509450.0,-2.7,0.6
436.0,False,False,1459702.0,11117.0,,513268.0,3.0,2.0,525052.0,23.9,0.6
408.0,True,False,1459702.0,11117.0,,329873.0,2.0,2.0,295436.0,-0.4,0.7
367.0,False,False,1459702.0,11117.0,,3313.0,2.0,2.0,266358.0,0.0,0.1
314.0,False,False,1459702.0,11117.0,,609848.0,3.0,2.0,525052.0,-23.5,-0.8
260.0,True,False,1459702.0,11117.0,,278317.0,2.0,2.0,266358.0,2.1,-0.5
242.0,False,False,1459702.0,11117.0,,609848.0,2.0,2.0,699947.0,0.0,0.1
227.0,False,False,1459702.0,11117.0,,509450.0,2.0,2.0,278317.0,0.0,0.1
190.0,True,False,1459702.0,11117.0,,525052.0,2.0,2.0,609848.0,-0.2,0.9
172.0,False,False,1459702.0,11117.0,,567408.0,2.0,2.0,509450.0,0.0,-1.1
141.0,False,False,1459702.0,11117.0,,567408.0,2.0,2.0,266358.0,3.2,5.5
132.0,False,False,1459702.0,11117.0,,509094.0,2.0,2.0,699947.0,0.2,4.2
96.0,True,False,1459702.0,11117.0,,266358.0,2.0,2.0,604898.0,0.0,0.1
23.1,False,False,1459702.0,11117.0,,295436.0,2.0,2.0,525052.0,-2.4,1.4
0.9,False,False,1459702.0,11117.0,,567408.0,3.0,2.0,509168.0,-17.1,18.9
652.0,False,False,1459702.0,11117.0,,567408.0,2.0,3.0,263028.0,-8.1,14.5
626.0,False,False,1459702.0,11117.0,,509094.0,2.0,3.0,295436.0,8.9,11.8
612.0,False,False,1459702.0,11117.0,,604898.0,2.0,3.0,509450.0,0.0,0.1
603.0,False,False,1459702.0,11117.0,,509094.0,2.0,3.0,699947.0,-13.3,7.2
526.0,False,False,1459702.0,11117.0,,604898.0,2.0,3.0,263028.0,-0.5,2.5
513.0,False,False,1459702.0,11117.0,,699947.0,2.0,3.0,609848.0,2.4,0.0
492.0,False,False,1459702.0,11117.0,,699947.0,2.0,3.0,295436.0,-6.8,14.9
451.0,True,False,1459702.0,11117.0,,567408.0,2.0,3.0,263028.0,0.0,0.1
390.0,False,False,1459702.0,11117.0,,295436.0,3.0,3.0,509094.0,-14.9,22.8
253.0,False,False,1459702.0,11117.0,,329873.0,3.0,3.0,525052.0,22.3,8.6
220.0,False,False,1459702.0,11117.0,,329873.0,2.0,3.0,699826.0,0.7,0.7
145.0,False,False,1459702.0,11117.0,,329873.0,3.0,3.0,513268.0,12.9,21.6
127.0,False,False,1459702.0,11117.0,,3313.0,2.0,3.0,509168.0,-7.0,16.7
59.9,False,False,1459702.0,11117.0,,329873.0,2.0,3.0,467471.0,0.7,-0.3
654.0,True,False,1459702.0,11117.0,,329873.0,3.0,4.0,513268.0,-20.5,15.3
578.0,False,False,1459702.0,11117.0,,266358.0,2.0,4.0,567408.0,-1.0,0.1
453.0,True,False,1459702.0,11117.0,,567408.0,2.0,4.0,266358.0,-0.2,1.7
437.0,False,False,1459702.0,11117.0,,513268.0,2.0,4.0,467471.0,11.9,9.3
393.0,False,False,1459702.0,11117.0,,329873.0,2.0,4.0,699826.0,0.0,0.1
312.0,False,False,1459702.0,11117.0,,266358.0,2.0,4.0,567408.0,1.5,-0.5
176.0,False,False,1459702.0,11117.0,,699947.0,2.0,4.0,699826.0,-7.3,13.8
41.9,False,False,1459702.0,11117.0,,329873.0,2.0,4.0,699947.0,0.0,0.1
658.0,False,False,1459703.0,11169.0,,292407.0,2.0,1.0,599780.0,-2.1,0.7
505.0,False,False,1459703.0,11169.0,,607544.0,2.0,1.0,295436.0,2.0,3.9
427.0,True,False,1459703.0,11169.0,,467471.0,2.0,1.0,607544.0,-1.3,0.7
344.0,False,False,1459703.0,11169.0,,266394.0,2.0,1.0,457594.0,11.4,0.7
309.0,False,False,1459703.0,11169.0,,266394.0,2.0,1.0,292407.0,-0.5,6.7
297.0,False,False,1459703.0,11169.0,,604734.0,3.0,1.0,607544.0,-0.4,24.1
206.0,False,False,1459703.0,11169.0,,607544.0,3.0,1.0,508952.0,-0.2,24.6
145.0,False,False,1459703.0,11169.0,,332666.0,2.0,1.0,295923.0,-3.2,1.9
50.9,False,False,1459703.0,11169.0,,295923.0,3.0,1.0,332666.0,-22.8,0.7
685.0,False,False,1459703.0,11169.0,,462745.0,2.0,2.0,604734.0,0.9,1.2
673.0,False,False,1459703.0,11169.0,,399599.0,2.0,2.0,292401.0,16.2,1.9
643.0,False,False,1459703.0,11169.0,,332666.0,2.0,2.0,292401.0,5.0,0.9
586.0,False,False,1459703.0,11169.0,,332666.0,2.0,2.0,398037.0,16.6,-0.3
568.0,False,False,1459703.0,11169.0,,467471.0,2.0,2.0,607544.0,1.7,0.3
509.0,False,False,1459703.0,11169.0,,609848.0,2.0,2.0,467471.0,2.1,0.0
443.0,False,False,1459703.0,11169.0,,332666.0,2.0,2.0,599780.0,-1.3,1.5
323.0,False,False,1459703.0,11169.0,,508952.0,3.0,2.0,462745.0,-22.4,0.7
305.0,False,False,1459703.0,11169.0,,332666.0,2.0,2.0,599780.0,0.9,0.6
289.0,False,False,1459703.0,11169.0,,467471.0,2.0,2.0,607544.0,-2.9,0.7
270.0,False,False,1459703.0,11169.0,,457594.0,3.0,2.0,292407.0,22.6,0.3
48.9,False,False,1459703.0,11169.0,,607544.0,3.0,2.0,462745.0,17.4,17.5
26.9,False,False,1459703.0,11169.0,,607544.0,3.0,2.0,462745.0,16.5,17.6
637.0,False,False,1459703.0,11169.0,,266394.0,2.0,3.0,457594.0,0.0,0.1
459.0,False,False,1459703.0,11169.0,,457594.0,2.0,3.0,550049.0,1.8,0.4
384.0,False,False,1459703.0,11169.0,,399599.0,2.0,3.0,457594.0,-2.4,0.1
232.0,False,False,1459703.0,11169.0,,561872.0,3.0,3.0,604734.0,-13.3,20.8
131.0,False,False,1459703.0,11169.0,,561872.0,3.0,3.0,462745.0,-21.3,12.6
62.0,False,False,1459703.0,11169.0,,292401.0,2.0,3.0,332666.0,8.4,17.0
689.0,False,False,1459703.0,11169.0,,398037.0,2.0,4.0,399599.0,-2.6,1.5
621.0,False,False,1459703.0,11169.0,,607544.0,2.0,4.0,604734.0,3.9,1.1
604.0,False,False,1459703.0,11169.0,,399599.0,3.0,4.0,292401.0,-23.1,1.2
589.0,False,False,1459703.0,11169.0,,609848.0,2.0,4.0,467471.0,-14.7,11.5
391.0,False,False,1459703.0,11169.0,,332666.0,2.0,4.0,295923.0,0.9,1.7
338.0,False,False,1459703.0,11169.0,,609848.0,2.0,4.0,561872.0,2.4,1.1
326.0,False,False,1459703.0,11169.0,,398037.0,3.0,4.0,550049.0,-23.4,4.2
301.0,False,False,1459703.0,11169.0,,65844.0,3.0,4.0,550049.0,8.9,22.8
266.0,True,False,1459703.0,11169.0,,508952.0,3.0,4.0,561872.0,-19.1,16.0
154.0,True,False,1459703.0,11169.0,,550049.0,2.0,4.0,398037.0,0.0,0.1
123.0,False,False,1459703.0,11169.0,,65844.0,2.0,4.0,330046.0,0.7,0.3
114.0,False,False,1459703.0,11169.0,,508952.0,2.0,4.0,604734.0,0.0,0.1
72.0,False,False,1459703.0,11169.0,,398037.0,2.0,4.0,332666.0,11.0,4.5
3.9,False,False,1459703.0,11169.0,,561872.0,2.0,4.0,609848.0,0.0,0.1
488.0,False,False,1459704.0,11211.0,,229569.0,2.0,1.0,61849.0,0.1,1.9
462.0,True,False,1459704.0,11211.0,,296572.0,2.0,1.0,61849.0,1.8,1.1
430.0,False,False,1459704.0,11211.0,,229569.0,2.0,1.0,172631.0,16.3,0.9
386.0,False,False,1459704.0,11211.0,,3494.0,3.0,1.0,550991.0,-10.5,22.8
371.0,False,False,1459704.0,11211.0,,61849.0,2.0,1.0,172631.0,10.8,14.8
346.0,True,False,1459704.0,11211.0,,75344.0,2.0,1.0,296572.0,-1.6,0.1
171.0,False,False,1459704.0,11211.0,,458730.0,2.0,1.0,3494.0,1.0,18.6
130.0,False,False,1459704.0,11211.0,,330057.0,2.0,1.0,3494.0,3.1,7.2
90.0,False,False,1459704.0,11211.0,,3494.0,2.0,1.0,57820.0,2.1,0.4
41.9,True,False,1459704.0,11211.0,,172631.0,3.0,1.0,296572.0,22.5,-1.3
600.0,True,False,1459704.0,11211.0,,61849.0,2.0,2.0,513234.0,0.0,0.1
406.0,True,False,1459704.0,11211.0,,57820.0,3.0,2.0,599809.0,23.1,-0.5
337.0,False,False,1459704.0,11211.0,,399612.0,3.0,2.0,229726.0,-16.4,19.2
243.0,True,False,1459704.0,11211.0,,296572.0,2.0,2.0,172631.0,1.7,0.7
175.0,False,False,1459704.0,11211.0,,75344.0,2.0,2.0,229569.0,-1.0,0.0
636.0,False,False,1459704.0,11211.0,,399612.0,2.0,3.0,550991.0,0.1,5.3
575.0,True,False,1459704.0,11211.0,,550991.0,2.0,3.0,263220.0,-2.4,-0.5
555.0,False,False,1459704.0,11211.0,,61849.0,2.0,3.0,229569.0,1.7,1.1
506.0,False,False,1459704.0,11211.0,,263220.0,2.0,3.0,399612.0,2.1,-0.3
492.0,False,False,1459704.0,11211.0,,229569.0,2.0,3.0,172631.0,0.0,0.1
468.0,True,False,1459704.0,11211.0,,296572.0,2.0,3.0,229569.0,2.1,0.9
399.0,False,False,1459704.0,11211.0,,399612.0,2.0,3.0,3494.0,-0.4,4.1
341.0,True,False,1459704.0,11211.0,,552982.0,2.0,3.0,75344.0,0.0,0.1
249.0,True,False,1459704.0,11211.0,,263220.0,2.0,3.0,3494.0,1.5,0.6
206.0,False,False,1459704.0,11211.0,,172631.0,2.0,3.0,229569.0,-8.1,-0.3
59.9,False,False,1459704.0,11211.0,,552982.0,2.0,3.0,172631.0,-6.5,18.9
667.0,False,False,1459704.0,11211.0,,296572.0,2.0,4.0,61849.0,-12.0,17.6
644.0,False,False,1459704.0,11211.0,,330057.0,3.0,4.0,229726.0,-5.2,25.2
542.0,False,False,1459704.0,11211.0,,458730.0,3.0,4.0,599809.0,23.7,-1.7
396.0,False,False,1459704.0,11211.0,,3494.0,3.0,4.0,229726.0,0.0,24.7
