clock,foul,gameId,index,isFreeThrow,make,pid,pts,qtr,x,y
707.0,False,1460214.0,125088.0,False,True,262890.0,2.0,1.0,1.7,0.9
691.0,False,1460214.0,125088.0,False,True,552523.0,2.0,1.0,-8.9,6.7
670.0,False,1460214.0,125088.0,False,False,262890.0,0.0,1.0,-1.0,25.5
661.0,False,1460214.0,125088.0,False,False,552523.0,0.0,1.0,6.5,24.6
644.0,False,1460214.0,125088.0,False,False,398043.0,0.0,1.0,-0.8,1.5
635.0,False,1460214.0,125088.0,False,False,608661.0,0.0,1.0,-1.6,1.9
625.0,False,1460214.0,125088.0,False,True,237675.0,2.0,1.0,3.2,4.5
606.0,False,1460214.0,125088.0,False,True,457598.0,2.0,1.0,1.7,0.9
585.0,False,1460214.0,125088.0,False,False,237675.0,0.0,1.0,-1.8,1.5
574.0,False,1460214.0,125088.0,False,True,553166.0,2.0,1.0,-1.1,2.3
546.0,False,1460214.0,125088.0,False,False,608661.0,0.0,1.0,2.6,1.2
538.0,False,1460214.0,125088.0,False,False,262890.0,0.0,1.0,22.6,2.5
528.0,False,1460214.0,125088.0,False,True,553166.0,2.0,1.0,2.6,19.7
513.0,False,1460214.0,125088.0,False,False,58293.0,0.0,1.0,-5.1,25.2
501.0,False,1460214.0,125088.0,False,False,457598.0,0.0,1.0,3.1,18.4
491.0,False,1460214.0,125088.0,False,False,237675.0,0.0,1.0,-2.7,25.4
451.0,False,1460214.0,125088.0,False,True,553166.0,2.0,1.0,2.1,1.2
436.0,False,1460214.0,125088.0,False,True,280587.0,2.0,1.0,-1.9,5.5
420.0,False,1460214.0,125088.0,False,False,608661.0,0.0,1.0,13.8,11.6
408.0,False,1460214.0,125088.0,False,False,280587.0,0.0,1.0,-7.9,18.1
401.0,False,1460214.0,125088.0,False,False,262890.0,0.0,1.0,15.1,20.6
387.0,False,1460214.0,125088.0,False,True,237675.0,2.0,1.0,0.0,0.1
356.0,False,1460214.0,125088.0,False,False,398043.0,0.0,1.0,16.8,19.4
348.0,False,1460214.0,125088.0,False,True,457598.0,2.0,1.0,-1.8,2.2
323.0,False,1460214.0,125088.0,False,False,398043.0,0.0,1.0,0.0,11.0
304.0,False,1460214.0,125088.0,False,True,608661.0,2.0,1.0,-0.2,4.8
281.0,False,1460214.0,125088.0,False,True,398043.0,3.0,1.0,-16.4,19.0
230.0,False,1460214.0,125088.0,False,True,457598.0,2.0,1.0,-14.1,10.1
209.0,False,1460214.0,125088.0,False,False,746146.0,0.0,1.0,11.4,23.0
189.0,False,1460214.0,125088.0,False,False,739958.0,0.0,1.0,1.7,6.3
178.0,False,1460214.0,125088.0,False,True,237675.0,2.0,1.0,6.5,3.9
152.0,False,1460214.0,125088.0,False,True,552523.0,2.0,1.0,-9.3,15.9
126.0,False,1460214.0,125088.0,False,False,552523.0,0.0,1.0,-2.3,17.8
