clock,foul,gameId,index,isFreeThrow,make,pid,pts,qtr,x,y
701.0,False,1460464.0,167237.0,False,False,329525.0,0.0,1.0,-13.3,5.8
694.0,False,1460464.0,167237.0,False,False,214152.0,0.0,1.0,-9.7,3.7
686.0,False,1460464.0,167237.0,False,False,329830.0,0.0,1.0,-4.5,7.7
661.0,False,1460464.0,167237.0,False,True,214152.0,2.0,1.0,7.8,11.6
644.0,False,1460464.0,167237.0,False,False,456450.0,0.0,1.0,23.9,-0.3
621.0,False,1460464.0,167237.0,False,False,253997.0,0.0,1.0,-14.7,23.6
608.0,False,1460464.0,167237.0,False,False,456450.0,0.0,1.0,5.1,15.3
583.0,False,1460464.0,167237.0,False,False,329830.0,0.0,1.0,2.1,2.0
577.0,False,1460464.0,167237.0,False,False,456450.0,0.0,1.0,-17.5,18.7
571.0,False,1460464.0,167237.0,False,False,329525.0,0.0,1.0,1.8,25.8
551.0,False,1460464.0,167237.0,False,False,329525.0,0.0,1.0,1.7,6.0
545.0,False,1460464.0,167237.0,False,False,214152.0,0.0,1.0,0.1,0.6
534.0,False,1460464.0,167237.0,False,True,329525.0,3.0,1.0,-24.3,1.1
516.0,False,1460464.0,167237.0,False,False,253997.0,0.0,1.0,11.9,22.5
510.0,False,1460464.0,167237.0,False,False,214152.0,0.0,1.0,-0.2,1.2
506.0,False,1460464.0,167237.0,False,False,329830.0,0.0,1.0,3.7,4.8
501.0,False,1460464.0,167237.0,False,False,214152.0,0.0,1.0,-0.5,-0.2
473.0,False,1460464.0,167237.0,False,True,395374.0,3.0,1.0,9.7,22.5
447.0,False,1460464.0,167237.0,False,False,329830.0,0.0,1.0,2.3,16.5
423.0,False,1460464.0,167237.0,False,False,253997.0,0.0,1.0,-23.1,1.2
421.0,False,1460464.0,167237.0,False,False,395374.0,0.0,1.0,-0.4,0.3
408.0,False,1460464.0,167237.0,False,True,329525.0,2.0,1.0,1.7,2.2
400.0,False,1460464.0,167237.0,False,True,253997.0,3.0,1.0,-23.7,0.1
382.0,False,1460464.0,167237.0,False,False,456450.0,0.0,1.0,0.9,0.3
352.0,False,1460464.0,167237.0,False,True,329830.0,3.0,1.0,13.6,23.8
317.0,False,1460464.0,167237.0,False,True,214162.0,2.0,1.0,0.0,0.1
299.0,False,1460464.0,167237.0,False,False,551768.0,0.0,1.0,-5.4,1.4
283.0,False,1460464.0,167237.0,False,True,214152.0,2.0,1.0,-19.4,2.6
270.0,False,1460464.0,167237.0,False,True,552007.0,3.0,1.0,-11.1,22.2
253.0,False,1460464.0,167237.0,False,False,253997.0,0.0,1.0,-7.9,18.1
228.0,False,1460464.0,167237.0,False,True,214152.0,2.0,1.0,0.6,0.0
217.0,False,1460464.0,167237.0,False,True,57819.0,2.0,1.0,-0.8,0.0
198.0,False,1460464.0,167237.0,False,False,395374.0,0.0,1.0,23.0,0.1
191.0,False,1460464.0,167237.0,False,True,329830.0,2.0,1.0,5.9,12.9
174.0,False,1460464.0,167237.0,False,False,551768.0,0.0,1.0,-1.0,1.4
168.0,False,1460464.0,167237.0,False,True,263899.0,3.0,1.0,-22.8,4.4
149.0,False,1460464.0,167237.0,False,False,253997.0,0.0,1.0,-13.4,21.7
111.0,False,1460464.0,167237.0,False,False,329830.0,0.0,1.0,11.3,9.3
104.0,False,1460464.0,167237.0,False,False,551768.0,0.0,1.0,0.9,0.3
89.0,False,1460464.0,167237.0,False,False,552007.0,0.0,1.0,-0.5,0.0
73.0,False,1460464.0,167237.0,False,True,552007.0,2.0,1.0,0.4,-0.2
33.9,False,1460464.0,167237.0,False,True,462444.0,2.0,1.0,0.9,7.1
12.9,False,1460464.0,167237.0,False,False,552806.0,0.0,1.0,0.6,4.4
12.3,False,1460464.0,167237.0,False,True,3314.0,2.0,1.0,0.2,0.0
0.0,False,1460464.0,167237.0,False,False,329525.0,0.0,1.0,-4.5,26.1
676.0,False,1460464.0,167237.0,False,False,456450.0,0.0,2.0,2.4,5.5
646.0,False,1460464.0,167237.0,False,True,456450.0,2.0,2.0,0.7,8.9
625.0,False,1460464.0,167237.0,False,False,263899.0,0.0,2.0,-23.2,-0.2
616.0,False,1460464.0,167237.0,False,False,214152.0,0.0,2.0,0.4,9.4
609.0,False,1460464.0,167237.0,False,False,462444.0,0.0,2.0,-11.6,12.4
598.0,False,1460464.0,167237.0,False,True,457186.0,3.0,2.0,22.5,0.6
577.0,False,1460464.0,167237.0,False,False,329525.0,0.0,2.0,-14.1,6.7
572.0,False,1460464.0,167237.0,False,True,214152.0,2.0,2.0,0.0,0.3
552.0,False,1460464.0,167237.0,False,False,329525.0,0.0,2.0,-4.1,5.5
549.0,False,1460464.0,167237.0,False,True,456450.0,3.0,2.0,-9.7,24.1
531.0,False,1460464.0,167237.0,False,True,214152.0,2.0,2.0,0.1,0.4
513.0,False,1460464.0,167237.0,False,False,462444.0,0.0,2.0,-4.8,5.8
507.0,False,1460464.0,167237.0,False,False,552007.0,0.0,2.0,-14.9,21.3
486.0,False,1460464.0,167237.0,False,False,214152.0,0.0,2.0,-16.4,14.3
483.0,False,1460464.0,167237.0,False,False,552679.0,0.0,2.0,0.4,0.0
480.0,False,1460464.0,167237.0,False,False,552679.0,0.0,2.0,0.1,0.9
470.0,False,1460464.0,167237.0,False,False,456450.0,0.0,2.0,1.7,25.4
448.0,False,1460464.0,167237.0,False,False,214152.0,0.0,2.0,-1.0,7.5
443.0,False,1460464.0,167237.0,False,True,552806.0,2.0,2.0,-0.8,0.0
429.0,False,1460464.0,167237.0,False,False,552007.0,0.0,2.0,-19.3,1.2
426.0,False,1460464.0,167237.0,False,False,329525.0,0.0,2.0,13.8,23.0
405.0,False,1460464.0,167237.0,False,False,214152.0,0.0,2.0,11.0,23.5
395.0,False,1460464.0,167237.0,False,False,329525.0,0.0,2.0,-11.1,22.8
382.0,False,1460464.0,167237.0,False,False,329830.0,0.0,2.0,-4.8,8.9
375.0,False,1460464.0,167237.0,False,False,551768.0,0.0,2.0,-0.7,2.0
374.0,False,1460464.0,167237.0,False,True,552806.0,2.0,2.0,-0.4,-2.5
353.0,False,1460464.0,167237.0,False,True,552007.0,3.0,2.0,23.9,0.0
331.0,False,1460464.0,167237.0,False,True,329525.0,2.0,2.0,0.6,0.1
307.0,False,1460464.0,167237.0,False,True,395374.0,2.0,2.0,-1.0,5.8
283.0,False,1460464.0,167237.0,False,True,253997.0,3.0,2.0,6.7,25.0
271.0,False,1460464.0,167237.0,False,False,456450.0,0.0,2.0,0.4,25.4
265.0,False,1460464.0,167237.0,False,False,552007.0,0.0,2.0,-22.8,-0.6
253.0,False,1460464.0,167237.0,False,True,551768.0,3.0,2.0,8.8,24.9
232.0,False,1460464.0,167237.0,False,False,214162.0,0.0,2.0,-1.3,4.7
228.0,False,1460464.0,167237.0,False,False,329830.0,0.0,2.0,0.1,0.1
220.0,False,1460464.0,167237.0,False,True,551768.0,2.0,2.0,-5.2,2.2
207.0,False,1460464.0,167237.0,False,True,214162.0,2.0,2.0,-0.2,-0.6
194.0,False,1460464.0,167237.0,False,False,551768.0,0.0,2.0,3.4,28.7
189.0,False,1460464.0,167237.0,False,True,329525.0,2.0,2.0,0.0,-0.8
165.0,False,1460464.0,167237.0,False,True,214152.0,2.0,2.0,0.0,-0.3
148.0,False,1460464.0,167237.0,False,True,329525.0,2.0,2.0,-14.4,1.5
121.0,False,1460464.0,167237.0,False,False,329830.0,0.0,2.0,-0.2,14.3
104.0,False,1460464.0,167237.0,False,False,214152.0,0.0,2.0,-14.7,0.0
99.0,False,1460464.0,167237.0,False,False,253997.0,0.0,2.0,12.1,23.3
79.0,False,1460464.0,167237.0,False,True,551768.0,2.0,2.0,-1.6,0.9
68.0,False,1460464.0,167237.0,False,False,329830.0,0.0,2.0,0.2,-0.2
67.0,False,1460464.0,167237.0,False,True,329525.0,2.0,2.0,0.0,0.1
48.9,False,1460464.0,167237.0,False,True,253997.0,3.0,2.0,-21.7,12.9
31.6,False,1460464.0,167237.0,False,True,329525.0,2.0,2.0,0.0,0.1
8.9,False,1460464.0,167237.0,False,True,214152.0,2.0,2.0,-0.2,0.0
1.1,False,1460464.0,167237.0,False,False,329525.0,0.0,2.0,-0.7,2.3
0.0,False,1460464.0,167237.0,False,False,456450.0,0.0,2.0,11.4,24.4
702.0,False,1460464.0,167237.0,False,False,214152.0,0.0,3.0,-22.9,-1.0
696.0,False,1460464.0,167237.0,False,True,253997.0,3.0,3.0,17.6,22.2
675.0,False,1460464.0,167237.0,False,True,329830.0,2.0,3.0,-12.0,5.5
656.0,False,1460464.0,167237.0,False,True,329525.0,2.0,3.0,0.0,0.1
622.0,False,1460464.0,167237.0,False,False,551768.0,0.0,3.0,0.0,-0.5
613.0,False,1460464.0,167237.0,False,True,456450.0,2.0,3.0,-10.3,2.0
578.0,False,1460464.0,167237.0,False,False,456450.0,0.0,3.0,3.2,18.6
570.0,False,1460464.0,167237.0,False,False,253997.0,0.0,3.0,16.2,19.7
560.0,False,1460464.0,167237.0,False,False,329830.0,0.0,3.0,-6.2,13.5
534.0,False,1460464.0,167237.0,False,False,551768.0,0.0,3.0,-10.9,23.1
515.0,False,1460464.0,167237.0,False,True,329830.0,2.0,3.0,-0.4,17.9
493.0,False,1460464.0,167237.0,False,True,329525.0,2.0,3.0,0.0,0.1
473.0,False,1460464.0,167237.0,False,True,551768.0,2.0,3.0,0.0,-0.3
453.0,False,1460464.0,167237.0,False,False,329830.0,0.0,3.0,-20.1,14.0
443.0,False,1460464.0,167237.0,False,True,395374.0,3.0,3.0,10.6,22.4
429.0,False,1460464.0,167237.0,False,True,456450.0,3.0,3.0,-17.9,18.6
411.0,False,1460464.0,167237.0,False,False,253997.0,0.0,3.0,-21.2,13.1
392.0,False,1460464.0,167237.0,False,True,548635.0,2.0,3.0,0.0,0.1
361.0,False,1460464.0,167237.0,False,False,551768.0,0.0,3.0,-17.7,-2.8
322.0,False,1460464.0,167237.0,False,False,329830.0,0.0,3.0,1.0,13.7
311.0,False,1460464.0,167237.0,False,True,395374.0,3.0,3.0,13.8,20.0
287.0,False,1460464.0,167237.0,False,False,329525.0,0.0,3.0,-12.2,3.6
267.0,False,1460464.0,167237.0,False,False,253997.0,0.0,3.0,22.8,0.0
258.0,False,1460464.0,167237.0,False,False,552007.0,0.0,3.0,22.5,0.3
251.0,False,1460464.0,167237.0,False,True,329830.0,3.0,3.0,-22.8,-1.7
210.0,False,1460464.0,167237.0,False,True,551768.0,2.0,3.0,9.5,2.6
199.0,False,1460464.0,167237.0,False,False,329830.0,0.0,3.0,0.6,11.6
192.0,False,1460464.0,167237.0,False,False,551768.0,0.0,3.0,-22.8,11.5
166.0,False,1460464.0,167237.0,False,False,552007.0,0.0,3.0,1.2,1.9
