off,def,startTime,endTime,endText,dur,points,actionPlayer,turnover,oRebs,blks,assist,steal,startState,endState,fastBreak,qtr,dFouls,defTeamPts,shots,gameId
29.0,22.0,85.0,82.0,Jeff Green is charged with a turnover due to a foul.,3.0,0.0,-1.0,True,0.0,0.0,-1.0,False,1.0,4.0,False,1.0,0.0,0.0,[],1539622.0
22.0,29.0,82.0,69.0,C.J. McCollum makes free throw 2 of 2.,13.0,1.0,-1.0,False,0.0,0.0,-1.0,False,4.0,7.0,False,1.0,1.0,0.0,[],1539622.0
29.0,22.0,69.0,48.8,Robin Lopez with a defensive rebound.,20.2,0.0,-1.0,False,0.0,1.0,-1.0,False,7.0,1.0,False,1.0,0.0,0.0,[208994],1539622.0
22.0,29.0,48.8,32.4,C.J. McCollum makes a pull up jump shot from 22 feet out.,16.4,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,1.0,0.0,0.0,[208994],1539622.0
29.0,22.0,32.4,12.2,C.J. McCollum with a defensive rebound.,20.2,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,1.0,0.0,0.0,[208994],1539622.0
22.0,29.0,12.2,0.0,End of the 1st Quarter,12.2,0.0,-1.0,False,1.0,0.0,-1.0,False,1.0,9.0,False,1.0,0.0,0.0,[208994],1539622.0
22.0,29.0,720.0,702.0,Jeff Green with a defensive rebound.,18.0,0.0,-1.0,False,0.0,0.0,-1.0,False,9.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,702.0,685.0,Chris Kaman with a defensive rebound.,17.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,685.0,675.0,Kosta Koufos with a defensive rebound.,10.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,675.0,666.0,Beno Udrih makes free throw 2 of 2.,9.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,7.0,False,2.0,1.0,0.0,[],1539622.0
22.0,29.0,666.0,646.0,LaMarcus Aldridge makes a layup from 1 foot out.,20.0,2.0,-1.0,False,0.0,0.0,-1.0,False,7.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,646.0,624.0,LaMarcus Aldridge with a defensive rebound.,22.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,624.0,617.0,Steve Blake makes a jump shot from 16 feet out.,7.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,617.0,598.0,Beno Udrih makes a jump shot from 19 feet out.,19.0,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,598.0,580.0,Nick Calathes with a defensive rebound.,18.0,1.0,-1.0,False,1.0,1.0,-1.0,False,2.0,1.0,False,2.0,1.0,0.0,[208994],1539622.0
29.0,22.0,580.0,559.0,Grizzlies with a turnover: Shot Clock Turnover,21.0,0.0,-1.0,True,0.0,0.0,-1.0,False,1.0,4.0,False,2.0,0.0,0.0,[],1539622.0
22.0,29.0,559.0,540.0,C.J. McCollum makes a 3-point jump shot from 25 feet out. Steve Blake with the assist.,19.0,3.0,-1.0,False,0.0,0.0,55084.0,False,4.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,540.0,516.0,Zach Randolph makes a running jump shot from 4 feet out. Nick Calathes with the assist.,24.0,2.0,-1.0,False,0.0,0.0,55084.0,False,2.0,2.0,False,2.0,0.0,0.0,[208994],1539622.0
22.0,29.0,516.0,500.0,Zach Randolph steals the ball from Chris Kaman.,16.0,0.0,-1.0,True,0.0,0.0,-1.0,True,2.0,5.0,False,2.0,0.0,0.0,[],1539622.0
29.0,22.0,500.0,464.0,Chris Kaman with a defensive rebound.,36.0,0.0,-1.0,False,3.0,0.0,-1.0,False,5.0,1.0,False,2.0,0.0,0.0,"[208994, 208994, 208994, 208994]",1539622.0
22.0,29.0,464.0,452.0,Kosta Koufos with a defensive rebound.,12.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,False,2.0,0.0,0.0,[208994],1539622.0
29.0,22.0,452.0,438.0,Vince Carter makes free throw 1 of 1.,14.0,3.0,-1.0,False,0.0,0.0,-1.0,False,1.0,6.0,False,2.0,1.0,0.0,[208994],1539622.0
