clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
677.0,False,False,1571285.0,8585.0,,553575.0,2.0,1.0,3493.0,0.0,0.1
616.0,False,False,1571285.0,8585.0,,553575.0,3.0,1.0,509449.0,18.4,16.0
546.0,False,False,1571285.0,8585.0,,509449.0,2.0,1.0,469085.0,7.9,17.8
460.0,False,False,1571285.0,8585.0,,469085.0,3.0,1.0,660085.0,22.8,2.6
423.0,False,False,1571285.0,8585.0,,509449.0,2.0,1.0,469085.0,0.0,0.1
349.0,False,False,1571285.0,8585.0,,393434.0,2.0,1.0,262882.0,-13.0,12.6
334.0,True,False,1571285.0,8585.0,,266358.0,2.0,1.0,398066.0,1.2,-0.1
304.0,False,False,1571285.0,8585.0,,469085.0,2.0,1.0,660085.0,-13.5,-1.5
156.0,False,False,1571285.0,8585.0,,469085.0,2.0,1.0,660085.0,-10.7,15.6
65.0,False,False,1571285.0,8585.0,,262882.0,2.0,1.0,393434.0,7.9,1.6
59.7,True,False,1571285.0,8585.0,,509449.0,2.0,1.0,332695.0,1.9,-0.1
602.0,True,False,1571285.0,8585.0,,295432.0,2.0,2.0,393434.0,-0.9,-0.1
582.0,False,False,1571285.0,8585.0,,332695.0,2.0,2.0,660085.0,-0.2,-0.1
409.0,True,False,1571285.0,8585.0,,399702.0,2.0,2.0,295432.0,1.7,-0.5
258.0,False,False,1571285.0,8585.0,,553575.0,2.0,2.0,469085.0,2.5,-0.1
189.0,False,False,1571285.0,8585.0,,262882.0,2.0,2.0,398066.0,-2.2,1.1
154.0,False,False,1571285.0,8585.0,,262882.0,2.0,2.0,398066.0,4.0,3.1
40.9,False,False,1571285.0,8585.0,,604898.0,2.0,2.0,398066.0,-10.9,1.6
0.1,False,False,1571285.0,8585.0,,553575.0,3.0,2.0,229602.0,23.5,-0.1
667.0,False,False,1571285.0,8585.0,,509449.0,2.0,3.0,469085.0,0.0,0.1
613.0,False,False,1571285.0,8585.0,,399702.0,2.0,3.0,266358.0,-0.9,15.9
582.0,False,False,1571285.0,8585.0,,295432.0,3.0,3.0,399702.0,-23.7,2.1
546.0,False,False,1571285.0,8585.0,,266358.0,3.0,3.0,399702.0,4.8,26.2
513.0,True,False,1571285.0,8585.0,,262882.0,2.0,3.0,266358.0,0.0,0.1
463.0,True,False,1571285.0,8585.0,,262882.0,2.0,3.0,295432.0,-1.2,-0.5
442.0,False,False,1571285.0,8585.0,,229602.0,3.0,3.0,553575.0,-19.7,15.9
354.0,False,False,1571285.0,8585.0,,553575.0,3.0,3.0,229602.0,18.7,16.4
276.0,False,False,1571285.0,8585.0,,503779.0,2.0,3.0,398066.0,0.2,9.5
254.0,False,False,1571285.0,8585.0,,509449.0,3.0,3.0,229602.0,23.3,-2.9
203.0,False,False,1571285.0,8585.0,,295432.0,2.0,3.0,604898.0,-4.3,3.1
96.0,True,False,1571285.0,8585.0,,229602.0,2.0,3.0,660085.0,0.0,0.1
77.0,False,False,1571285.0,8585.0,,295432.0,3.0,3.0,503779.0,5.5,25.9
60.0,False,False,1571285.0,8585.0,,616982.0,3.0,3.0,553575.0,13.8,20.3
41.9,False,False,1571285.0,8585.0,,295432.0,2.0,3.0,398066.0,0.0,0.1
588.0,True,False,1571285.0,8585.0,,266358.0,3.0,4.0,393434.0,-23.7,-1.1
571.0,False,False,1571285.0,8585.0,,553575.0,2.0,4.0,616982.0,0.0,0.1
523.0,False,False,1571285.0,8585.0,,262882.0,3.0,4.0,393434.0,7.3,23.7
504.0,False,False,1571285.0,8585.0,,660085.0,2.0,4.0,616982.0,0.0,0.1
486.0,True,False,1571285.0,8585.0,,509449.0,3.0,4.0,76032.0,-19.7,17.4
472.0,False,False,1571285.0,8585.0,,393434.0,3.0,4.0,262882.0,20.4,14.9
441.0,True,False,1571285.0,8585.0,,509449.0,2.0,4.0,660085.0,0.4,0.7
371.0,False,False,1571285.0,8585.0,,509449.0,2.0,4.0,616982.0,9.4,15.6
351.0,False,False,1571285.0,8585.0,,295432.0,2.0,4.0,398066.0,-4.5,4.6
326.0,False,False,1571285.0,8585.0,,660085.0,2.0,4.0,616982.0,-3.0,8.0
286.0,False,False,1571285.0,8585.0,,393434.0,3.0,4.0,463135.0,-24.0,-2.4
241.0,False,False,1571285.0,8585.0,,553575.0,3.0,4.0,398090.0,-17.4,17.5
197.0,False,False,1571285.0,8585.0,,463135.0,2.0,4.0,604898.0,-14.7,-3.1
150.0,False,False,1571285.0,8585.0,,463135.0,3.0,4.0,399702.0,-23.3,1.1
132.0,False,False,1571285.0,8585.0,,639311.0,2.0,4.0,699948.0,-1.4,-1.1
121.0,False,False,1571285.0,8585.0,,469234.0,3.0,4.0,604898.0,22.3,-1.1
91.0,False,False,1571285.0,8585.0,,639311.0,2.0,4.0,845564.0,-1.7,0.3
55.9,False,False,1571285.0,8585.0,,76032.0,3.0,4.0,639311.0,-15.3,20.5
545.0,True,False,1571062.0,8637.0,,877870.0,2.0,1.0,411111.0,-2.9,0.7
518.0,False,False,1571062.0,8637.0,,739960.0,2.0,1.0,739966.0,-21.5,6.5
