away,home,awayScore,homeScore,date,gameId,awayPoss,homePoss,periods
20.0,10.0,114.0,116.0,2015-11-27T19:00:00,1571752.0,101.0,100.0,4.0
23.0,25.0,95.0,98.0,2015-12-06T18:00:00,1571711.0,100.0,101.0,4.0
10.0,6.0,100.0,96.0,2015-12-04T19:30:00,1571528.0,94.0,94.0,4.0
9.0,16.0,129.0,116.0,2015-11-12T19:00:00,1570469.0,100.0,99.0,4.0
23.0,5312.0,122.0,127.0,2015-11-23T19:00:00,1571389.0,119.0,119.0,5.0
19.0,10.0,114.0,119.0,2015-11-04T19:00:00,1571339.0,104.0,103.0,5.0
19.0,11.0,84.0,97.0,2015-11-09T19:00:00,1570966.0,98.0,97.0,4.0
12.0,22.0,91.0,102.0,2015-11-20T19:00:00,1571541.0,95.0,96.0,4.0
28.0,23.0,101.0,107.0,2015-11-15T18:00:00,1570802.0,98.0,98.0,4.0
23.0,12.0,109.0,114.0,2015-10-31T19:30:00,1571063.0,104.0,106.0,4.0
20.0,2.0,80.0,84.0,2015-11-25T19:30:00,1571128.0,101.0,100.0,4.0
28.0,1.0,96.0,86.0,2015-12-02T20:00:00,1571616.0,94.0,92.0,4.0
8.0,23.0,92.0,101.0,2015-11-11T19:00:00,1570772.0,98.0,98.0,4.0
7.0,4.0,90.0,99.0,2015-12-02T19:00:00,1570448.0,97.0,98.0,4.0
6.0,21.0,111.0,95.0,2015-10-28T19:00:00,1571278.0,104.0,104.0,4.0
26.0,6.0,93.0,102.0,2015-11-20T19:30:00,1571514.0,88.0,89.0,4.0
1.0,18.0,112.0,101.0,2015-10-29T20:00:00,1571362.0,102.0,102.0,4.0
23.0,1.0,97.0,103.0,2015-11-18T20:00:00,1571589.0,100.0,101.0,4.0
3.0,9.0,95.0,111.0,2015-10-27T19:30:00,1570507.0,102.0,103.0,4.0
5312.0,4.0,97.0,102.0,2015-11-13T19:00:00,1570445.0,97.0,98.0,4.0
23.0,9.0,101.0,120.0,2015-11-28T19:30:00,1570573.0,98.0,97.0,4.0
2.0,23.0,114.0,97.0,2015-12-03T21:00:00,1570826.0,103.0,104.0,4.0
10.0,17.0,105.0,110.0,2015-12-08T19:30:00,1570804.0,102.0,101.0,4.0
12.0,9.0,108.0,112.0,2015-11-04T19:30:00,1570519.0,100.0,101.0,4.0
9.0,11.0,131.0,123.0,2015-12-08T19:00:00,1570996.0,105.0,106.0,4.0
16.0,12.0,99.0,107.0,2015-11-29T12:30:00,1571104.0,96.0,95.0,4.0
20.0,24.0,83.0,92.0,2015-11-14T19:30:00,1570503.0,96.0,98.0,4.0
26.0,11.0,97.0,76.0,2015-10-31T19:00:00,1570946.0,94.0,93.0,4.0
22.0,7.0,104.0,108.0,2015-11-09T19:00:00,1571067.0,97.0,98.0,4.0
9.0,3.0,134.0,120.0,2015-10-31T18:30:00,1570477.0,106.0,106.0,4.0
