off,def,startTime,endTime,endText,dur,points,actionPlayer,turnover,oRebs,blks,assist,steal,startState,endState,fastBreak,qtr,dFouls,defTeamPts,shots,gameId
21.0,23.0,720.0,703.0,Rudy Gay steals the ball from P.J. Tucker.,17.0,0.0,-1.0,True,0.0,0.0,-1.0,True,9.0,5.0,False,1.0,0.0,0.0,[],1571285.0
23.0,21.0,703.0,693.0,Eric Bledsoe steals the ball from James Anderson.,10.0,0.0,-1.0,True,0.0,0.0,-1.0,True,5.0,5.0,False,1.0,0.0,0.0,[],1571285.0
21.0,23.0,693.0,677.0,Tyson Chandler dunks. Brandon Knight with the assist.,16.0,2.0,-1.0,False,0.0,0.0,8585.0,False,5.0,2.0,False,1.0,0.0,0.0,[33607],1571285.0
23.0,21.0,677.0,662.0,Darren Collison makes a pull up jump shot from 16 feet out.,15.0,2.0,-1.0,False,0.0,0.0,-1.0,False,2.0,2.0,False,1.0,0.0,0.0,[33607],1571285.0
21.0,23.0,662.0,646.0,Rudy Gay with a defensive rebound.,16.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,1.0,0.0,0.0,[33607],1571285.0
23.0,21.0,646.0,635.0,Tyson Chandler with a defensive rebound.,11.0,0.0,-1.0,False,0.0,0.0,-1.0,False,1.0,1.0,True,1.0,0.0,0.0,[33607],1571285.0
21.0,23.0,635.0,616.0,Eric Bledsoe makes a 3-point jump shot from 24 feet out. Brandon Knight with the assist.,19.0,3.0,-1.0,False,0.0,0.0,8585.0,False,1.0,3.0,False,1.0,0.0,0.0,[33607],1571285.0
23.0,21.0,616.0,593.0,Tyson Chandler with a defensive rebound.,23.0,0.0,-1.0,False,0.0,0.0,-1.0,False,3.0,1.0,False,1.0,0.0,0.0,[33607],1571285.0
21.0,23.0,593.0,591.0,Eric Bledsoe makes a pull up jump shot from 20 feet out.,2.0,2.0,-1.0,False,0.0,0.0,-1.0,False,1.0,2.0,True,1.0,0.0,0.0,[33607],1571285.0
23.0,21.0,591.0,562.0,Suns with a defensive rebound.,29.0,0.0,-1.0,False,0.0,0.0,-1.0,False,2.0,1.0,False,1.0,0.0,0.0,[33607],1571285.0
