away,home,awayScore,homeScore,date,gameId,awayPoss,homePoss,periods
23.0,21.0,97.0,118.0,2015-11-04T19:00:00,1571285.0,101.0,101.0,4.0
26.0,7.0,96.0,84.0,2015-11-05T19:00:00,1571062.0,90.0,91.0,4.0
25.0,10.0,105.0,110.0,2015-11-02T19:00:00,1571334.0,104.0,104.0,4.0
9.0,17.0,114.0,98.0,2015-12-06T18:00:00,1570797.0,97.0,97.0,4.0
4.0,8.0,94.0,98.0,2015-10-30T19:30:00,1571065.0,108.0,109.0,5.0
16.0,19.0,101.0,104.0,2015-11-18T19:00:00,1571217.0,104.0,104.0,5.0
28.0,27.0,84.0,82.0,2015-11-28T19:00:00,1571348.0,96.0,95.0,4.0
20.0,29.0,84.0,92.0,2015-11-29T17:00:00,1570832.0,100.0,101.0,4.0
1.0,24.0,88.0,108.0,2015-11-28T19:30:00,1570548.0,97.0,97.0,4.0
4.0,9.0,94.0,106.0,2015-11-20T19:30:00,1570562.0,95.0,95.0,4.0
16.0,13.0,112.0,111.0,2015-10-28T19:30:00,1570814.0,98.0,99.0,4.0
9.0,23.0,103.0,94.0,2015-11-07T19:00:00,1570752.0,100.0,100.0,4.0
28.0,9.0,110.0,115.0,2015-11-17T19:30:00,1570554.0,104.0,103.0,4.0
2.0,24.0,105.0,108.0,2015-12-05T19:30:00,1570567.0,97.0,98.0,4.0
17.0,24.0,75.0,102.0,2015-10-30T19:30:00,1570492.0,97.0,96.0,4.0
6.0,27.0,116.0,104.0,2015-12-06T18:00:00,1571381.0,98.0,97.0,4.0
9.0,21.0,135.0,116.0,2015-11-27T19:30:00,1571353.0,108.0,106.0,4.0
1.0,29.0,116.0,101.0,2015-11-27T19:00:00,1570827.0,95.0,95.0,4.0
11.0,2.0,102.0,91.0,2015-11-11T19:30:00,1571108.0,99.0,101.0,4.0
21.0,7.0,114.0,107.0,2015-11-20T19:00:00,1571125.0,97.0,97.0,4.0
9.0,12.0,124.0,117.0,2015-11-19T19:30:00,1571085.0,101.0,101.0,4.0
4.0,11.0,92.0,104.0,2015-11-27T20:00:00,1570989.0,102.0,103.0,4.0
4.0,5312.0,105.0,130.0,2015-11-03T19:00:00,1571351.0,99.0,100.0,4.0
7.0,9.0,104.0,119.0,2015-11-06T19:30:00,1570522.0,107.0,108.0,4.0
4.0,20.0,111.0,88.0,2015-11-09T19:00:00,1571044.0,105.0,106.0,4.0
6.0,25.0,114.0,117.0,2015-11-22T18:00:00,1571701.0,101.0,100.0,4.0
25.0,19.0,139.0,136.0,2015-10-30T19:00:00,1571184.0,126.0,126.0,6.0
1.0,5.0,97.0,109.0,2015-11-21T19:30:00,1570538.0,95.0,96.0,4.0
21.0,17.0,91.0,94.0,2015-12-01T19:30:00,1570794.0,96.0,97.0,4.0
23.0,10.0,113.0,120.0,2015-12-05T19:00:00,1571438.0,102.0,102.0,4.0
18.0,15.0,91.0,106.0,2015-12-05T19:30:00,1570588.0,98.0,98.0,4.0
15.0,5312.0,82.0,87.0,2015-11-29T14:00:00,1571409.0,88.0,89.0,4.0
11.0,4.0,95.0,96.0,2015-11-16T19:00:00,1570446.0,97.0,97.0,4.0
19.0,20.0,105.0,97.0,2015-11-07T19:00:00,1570987.0,95.0,95.0,4.0
24.0,3.0,90.0,104.0,2015-11-20T19:00:00,1570500.0,96.0,96.0,4.0
10.0,7.0,98.0,107.0,2015-11-13T19:00:00,1571111.0,101.0,101.0,4.0
28.0,13.0,102.0,91.0,2015-11-20T19:30:00,1570837.0,91.0,92.0,4.0
8.0,16.0,96.0,86.0,2015-11-20T19:00:00,1570474.0,100.0,98.0,4.0
20.0,15.0,87.0,91.0,2015-11-04T19:00:00,1570549.0,92.0,92.0,4.0
26.0,1.0,97.0,96.0,2015-11-15T18:00:00,1571585.0,91.0,91.0,4.0
12.0,6.0,108.0,118.0,2015-11-11T19:00:00,1571494.0,97.0,97.0,4.0
19.0,16.0,96.0,93.0,2015-12-01T19:00:00,1570486.0,95.0,95.0,4.0
18.0,25.0,93.0,90.0,2015-11-20T19:00:00,1571697.0,94.0,93.0,4.0
21.0,29.0,93.0,95.0,2015-12-06T14:30:00,1570846.0,96.0,94.0,4.0
5.0,8.0,99.0,104.0,2015-11-17T19:30:00,1571100.0,100.0,100.0,4.0
13.0,6.0,82.0,90.0,2015-11-13T19:30:00,1571503.0,100.0,100.0,4.0
2.0,19.0,91.0,110.0,2015-11-29T18:00:00,1571246.0,93.0,93.0,4.0
27.0,2.0,78.0,111.0,2015-11-27T19:30:00,1571135.0,101.0,99.0,4.0
5.0,29.0,106.0,76.0,2015-10-28T19:00:00,1570782.0,98.0,97.0,4.0
12.0,16.0,110.0,106.0,2015-12-07T19:00:00,1570493.0,103.0,104.0,4.0
27.0,5.0,97.0,85.0,2015-12-01T19:00:00,1570561.0,98.0,99.0,4.0
20.0,25.0,85.0,102.0,2015-11-13T19:00:00,1571684.0,101.0,102.0,4.0
5.0,15.0,105.0,108.0,2015-11-14T19:30:00,1570565.0,110.0,108.0,6.0
5312.0,14.0,94.0,104.0,2015-10-28T19:30:00,1571753.0,94.0,95.0,4.0
10.0,12.0,109.0,105.0,2015-11-07T19:30:00,1571073.0,100.0,99.0,4.0
13.0,28.0,93.0,102.0,2015-12-07T19:30:00,1570625.0,92.0,93.0,4.0
15.0,24.0,70.0,95.0,2015-12-02T19:30:00,1570557.0,97.0,95.0,4.0
22.0,5.0,100.0,105.0,2015-12-08T19:00:00,1570568.0,91.0,89.0,4.0
2.0,10.0,111.0,95.0,2015-11-16T19:00:00,1571383.0,103.0,103.0,4.0
22.0,26.0,108.0,92.0,2015-11-04T19:00:00,1571153.0,94.0,94.0,4.0
15.0,5.0,100.0,115.0,2015-11-19T20:00:00,1570533.0,87.0,88.0,4.0
2.0,3.0,111.0,93.0,2015-12-07T19:00:00,1570521.0,99.0,99.0,4.0
17.0,25.0,99.0,110.0,2015-11-25T19:00:00,1571705.0,104.0,104.0,4.0
