clock,fastBreak,foul,gameId,index,isFastBreak,pid,pts,qtr,scorerId,x,y
192.0,False,False,1571711.0,45.0,,266358.0,2.0,2.0,509450.0,2.0,0.3
89.0,True,False,1571711.0,45.0,,262882.0,2.0,2.0,266358.0,1.4,0.0
68.0,False,False,1571711.0,45.0,,329830.0,3.0,2.0,329525.0,-8.8,23.7
44.7,False,False,1571711.0,45.0,,329525.0,3.0,2.0,263899.0,22.7,0.3
648.0,False,False,1571711.0,45.0,,329525.0,2.0,3.0,329830.0,-1.4,0.8
455.0,False,False,1571711.0,45.0,,329830.0,2.0,3.0,456450.0,1.0,3.6
419.0,False,False,1571711.0,45.0,,329525.0,2.0,3.0,456450.0,-7.0,15.1
228.0,False,False,1571711.0,45.0,,393434.0,2.0,3.0,398066.0,1.7,2.3
182.0,False,False,1571711.0,45.0,,329830.0,3.0,3.0,552007.0,3.7,24.4
166.0,False,False,1571711.0,45.0,,295432.0,3.0,3.0,503779.0,-0.9,24.2
107.0,False,False,1571711.0,45.0,,295432.0,2.0,3.0,398066.0,0.0,0.1
39.7,False,False,1571711.0,45.0,,295432.0,2.0,3.0,393434.0,-11.0,14.4
15.9,True,False,1571711.0,45.0,,552007.0,2.0,3.0,553574.0,0.0,0.1
542.0,False,False,1571711.0,45.0,,329830.0,3.0,4.0,552007.0,9.4,23.2
478.0,False,False,1571711.0,45.0,,295432.0,3.0,4.0,503779.0,15.6,19.5
418.0,False,False,1571711.0,45.0,,262882.0,2.0,4.0,393434.0,12.8,10.1
399.0,False,False,1571711.0,45.0,,262882.0,3.0,4.0,295432.0,-20.1,15.1
328.0,False,False,1571711.0,45.0,,262882.0,2.0,4.0,266358.0,14.3,4.6
257.0,False,False,1571711.0,45.0,,393434.0,3.0,4.0,295432.0,-7.6,22.8
185.0,False,False,1571711.0,45.0,,262882.0,3.0,4.0,393434.0,-8.1,23.2
168.0,False,False,1571711.0,45.0,,329525.0,3.0,4.0,329830.0,-17.3,18.8
152.0,False,False,1571711.0,45.0,,266358.0,2.0,4.0,262882.0,0.2,0.8
78.0,False,False,1571711.0,45.0,,552007.0,2.0,4.0,329525.0,10.1,4.1
669.0,False,False,1571528.0,83.0,,553573.0,3.0,1.0,332691.0,21.5,12.9
588.0,True,False,1571528.0,83.0,,174063.0,3.0,1.0,172537.0,19.5,14.4
543.0,False,False,1571528.0,83.0,,172537.0,3.0,1.0,295809.0,-22.8,-0.6
524.0,False,False,1571528.0,83.0,,395388.0,3.0,1.0,332691.0,4.2,23.4
360.0,True,False,1571528.0,83.0,,172537.0,3.0,1.0,400599.0,23.2,4.6
253.0,False,False,1571528.0,83.0,,172537.0,2.0,1.0,552309.0,1.2,0.7
230.0,True,False,1571528.0,83.0,,400599.0,2.0,1.0,552309.0,0.0,0.1
208.0,False,False,1571528.0,83.0,,400599.0,3.0,1.0,172537.0,23.5,0.2
190.0,True,False,1571528.0,83.0,,295809.0,2.0,1.0,172537.0,1.4,-0.1
